Strategy,Query_ID,Full_SSA_Time,Full_PRA_Time,Hybrid_SSA_Time,Hybrid_PRA_Time,Candidates,Pruning_Ratio,Recall_HSSA,Recall_HPRA,FullSSA_Count,HSSA_Count,HPRA_Count
GlobalAvg c=1.5,7523,0.37186527252197266,0.4050600528717041,0.009277582168579102,0.008293867111206055,15,0.9754098360655737,0.0,0.0,1,0,0
GlobalAvg c=1.5,4267,0.36322879791259766,0.36530041694641113,0.008678913116455078,0.008331060409545898,15,0.9754098360655737,1.0,1.0,0,0,0
GlobalAvg c=1.5,6363,0.3683767318725586,0.3546264171600342,0.008916378021240234,0.008479833602905273,15,0.9754098360655737,1.0,1.0,0,0,0
GlobalAvg c=1.5,867,0.36161184310913086,0.36607980728149414,0.00914907455444336,0.008352279663085938,15,0.9754098360655737,1.0,1.0,0,0,0
GlobalAvg c=1.5,4210,0.388568639755249,0.38573765754699707,0.008394718170166016,0.008532285690307617,15,0.9754098360655737,0.0,0.0,1,0,0
GlobalAvg c=2.0,7523,0.3567028045654297,0.3811805248260498,0.011389493942260742,0.009935855865478516,20,0.9672131147540983,0.0,0.0,1,0,0
GlobalAvg c=2.0,4267,0.3579275608062744,0.35955262184143066,0.010179519653320312,0.010612964630126953,20,0.9672131147540983,1.0,1.0,0,0,0
GlobalAvg c=2.0,6363,0.35935401916503906,0.38732290267944336,0.010036945343017578,0.01063227653503418,20,0.9672131147540983,1.0,1.0,0,0,0
GlobalAvg c=2.0,867,0.3681778907775879,0.39094066619873047,0.010690450668334961,0.010398149490356445,20,0.9672131147540983,1.0,1.0,0,0,0
GlobalAvg c=2.0,4210,0.3566882610321045,0.3697681427001953,0.010589122772216797,0.010205745697021484,20,0.9672131147540983,0.0,0.0,1,0,0
GlobalAvg c=3.0,7523,0.364612340927124,0.46161413192749023,0.01930403709411621,0.019934654235839844,30,0.9508196721311475,0.0,0.0,1,0,0
GlobalAvg c=3.0,4267,0.35840511322021484,0.36455512046813965,0.02116250991821289,0.01972484588623047,30,0.9508196721311475,1.0,1.0,0,0,0
GlobalAvg c=3.0,6363,0.43226075172424316,0.401674747467041,0.02057361602783203,0.019179344177246094,30,0.9508196721311475,1.0,1.0,0,0,0
GlobalAvg c=3.0,867,0.41424131393432617,0.37917041778564453,0.021078824996948242,0.019722461700439453,30,0.9508196721311475,1.0,1.0,0,0,0
GlobalAvg c=3.0,4210,0.3887600898742676,0.36117053031921387,0.02073192596435547,0.01994037628173828,30,0.9508196721311475,0.0,0.0,1,0,0
GlobalAvg c=5.0,7523,0.3657846450805664,0.36803436279296875,0.0323183536529541,0.030200719833374023,50,0.9180327868852459,0.0,0.0,1,0,0
GlobalAvg c=5.0,4267,0.36382484436035156,0.35860204696655273,0.0335698127746582,0.02848958969116211,50,0.9180327868852459,1.0,1.0,0,0,0
GlobalAvg c=5.0,6363,0.3623464107513428,0.35738229751586914,0.03105640411376953,0.02865767478942871,50,0.9180327868852459,1.0,1.0,0,0,0
GlobalAvg c=5.0,867,0.3797125816345215,0.38917064666748047,0.03121352195739746,0.030955076217651367,50,0.9180327868852459,1.0,1.0,0,0,0
GlobalAvg c=5.0,4210,0.364119291305542,0.36008286476135254,0.03172159194946289,0.05693364143371582,50,0.9180327868852459,0.0,0.0,1,0,0
GlobalAvg c=10.0,7523,0.364793062210083,0.3971679210662842,0.06252431869506836,0.06280636787414551,100,0.8360655737704918,0.0,0.0,1,0,0
GlobalAvg c=10.0,4267,0.410442590713501,0.5345187187194824,0.16812348365783691,0.2057020664215088,100,0.8360655737704918,1.0,1.0,0,0,0
GlobalAvg c=10.0,6363,0.5695464611053467,0.5979907512664795,0.2791726589202881,0.17807483673095703,100,0.8360655737704918,1.0,1.0,0,0,0
GlobalAvg c=10.0,867,0.35727596282958984,0.3651773929595947,0.06729817390441895,0.06882619857788086,100,0.8360655737704918,1.0,1.0,0,0,0
GlobalAvg c=10.0,4210,0.5785014629364014,0.6648941040039062,0.11853528022766113,0.07747554779052734,100,0.8360655737704918,0.0,0.0,1,0,0
GlobalAvg c=20.0,7523,0.4341754913330078,0.3828740119934082,0.16226482391357422,0.13531231880187988,200,0.6721311475409837,0.0,0.0,1,0,0
GlobalAvg c=20.0,4267,0.3899648189544678,0.3823850154876709,0.13230037689208984,0.13106060028076172,200,0.6721311475409837,1.0,1.0,0,0,0
GlobalAvg c=20.0,6363,0.37697935104370117,0.40120983123779297,0.13422083854675293,0.1311805248260498,200,0.6721311475409837,1.0,1.0,0,0,0
GlobalAvg c=20.0,867,0.38184046745300293,0.4024529457092285,0.13150477409362793,0.13419270515441895,200,0.6721311475409837,1.0,1.0,0,0,0
GlobalAvg c=20.0,4210,0.3798689842224121,0.37128663063049316,0.12899374961853027,0.13327836990356445,200,0.6721311475409837,0.0,0.0,1,0,0
GlobalAvg c=30.0,7523,0.39792394638061523,0.38967061042785645,0.19780230522155762,0.21605420112609863,300,0.5081967213114754,0.0,0.0,1,0,0
