Method,Time,Recall,Precision,Pruning,ExactMatch
Hybrid_SSA_DurableRank,0.026808152198791502,0.554399394478518,1.0,0.9960000000000002,0.94
Hybrid_PRA_DurableRank,0.024967002868652343,0.554399394478518,1.0,0.9960000000000002,0.94
Hybrid_SSA_LegacyMinRank,0.1920347023010254,0.004032258064516129,0.25,0.9960000000000002,0.92
Hybrid_PRA_LegacyMinRank,0.19721467971801757,0.004032258064516129,0.25,0.9960000000000002,0.92
