query_item,Full_SSA_time,Full_SSA_count,baseline_empty,Full_PRA_time,Full_PRA_count,Hybrid_SSA_DurableRank_time,Hybrid_SSA_DurableRank_cands,Hybrid_SSA_DurableRank_pruning,Hybrid_SSA_DurableRank_tp,Hybrid_SSA_DurableRank_fp,Hybrid_SSA_DurableRank_fn,Hybrid_SSA_DurableRank_prec,Hybrid_SSA_DurableRank_recall,Hybrid_SSA_DurableRank_f1,Hybrid_SSA_DurableRank_exact,Hybrid_PRA_DurableRank_time,Hybrid_PRA_DurableRank_cands,Hybrid_PRA_DurableRank_pruning,Hybrid_PRA_DurableRank_tp,Hybrid_PRA_DurableRank_fp,Hybrid_PRA_DurableRank_fn,Hybrid_PRA_DurableRank_prec,Hybrid_PRA_DurableRank_recall,Hybrid_PRA_DurableRank_f1,Hybrid_PRA_DurableRank_exact,Hybrid_SSA_LegacyMinRank_time,Hybrid_SSA_LegacyMinRank_cands,Hybrid_SSA_LegacyMinRank_pruning,Hybrid_SSA_LegacyMinRank_tp,Hybrid_SSA_LegacyMinRank_fp,Hybrid_SSA_LegacyMinRank_fn,Hybrid_SSA_LegacyMinRank_prec,Hybrid_SSA_LegacyMinRank_recall,Hybrid_SSA_LegacyMinRank_f1,Hybrid_SSA_LegacyMinRank_exact,Hybrid_PRA_LegacyMinRank_time,Hybrid_PRA_LegacyMinRank_cands,Hybrid_PRA_LegacyMinRank_pruning,Hybrid_PRA_LegacyMinRank_tp,Hybrid_PRA_LegacyMinRank_fp,Hybrid_PRA_LegacyMinRank_fn,Hybrid_PRA_LegacyMinRank_prec,Hybrid_PRA_LegacyMinRank_recall,Hybrid_PRA_LegacyMinRank_f1,Hybrid_PRA_LegacyMinRank_exact
2331,0.5791568756103516,0,True,0.6598844528198242,0,0.02884507179260254,20,0.996,0,0,0,0.0,,0.0,True,0.029727697372436523,20,0.996,0,0,0,0.0,,0.0,True,0.21882271766662598,20,0.996,0,0,0,0.0,,0.0,True,0.23116302490234375,20,0.996,0,0,0,0.0,,0.0,True
1558,0.6410760879516602,0,True,0.5872485637664795,0,0.02579188346862793,20,0.996,0,0,0,0.0,,0.0,True,0.024362802505493164,20,0.996,0,0,0,0.0,,0.0,True,0.18785977363586426,20,0.996,0,0,0,0.0,,0.0,True,0.19632625579833984,20,0.996,0,0,0,0.0,,0.0,True
1486,0.5829458236694336,0,True,0.5804483890533447,0,0.0292971134185791,20,0.996,0,0,0,0.0,,0.0,True,0.02473282814025879,20,0.996,0,0,0,0.0,,0.0,True,0.19442081451416016,20,0.996,0,0,0,0.0,,0.0,True,0.18786072731018066,20,0.996,0,0,0,0.0,,0.0,True
2268,0.576779842376709,0,True,0.6007108688354492,0,0.025746583938598633,20,0.996,0,0,0,0.0,,0.0,True,0.02531719207763672,20,0.996,0,0,0,0.0,,0.0,True,0.18685626983642578,20,0.996,0,0,0,0.0,,0.0,True,0.18912458419799805,20,0.996,0,0,0,0.0,,0.0,True
596,0.5862522125244141,0,True,0.5812423229217529,0,0.025926828384399414,20,0.996,0,0,0,0.0,,0.0,True,0.025111913681030273,20,0.996,0,0,0,0.0,,0.0,True,0.18845224380493164,20,0.996,0,0,0,0.0,,0.0,True,0.19384121894836426,20,0.996,0,0,0,0.0,,0.0,True
2493,0.5852270126342773,0,True,0.5781347751617432,0,0.025458097457885742,20,0.996,0,0,0,0.0,,0.0,True,0.023644447326660156,20,0.996,0,0,0,0.0,,0.0,True,0.18680977821350098,20,0.996,0,0,0,0.0,,0.0,True,0.1976633071899414,20,0.996,0,0,0,0.0,,0.0,True
1654,0.58404541015625,0,True,0.5908865928649902,0,0.02643108367919922,20,0.996,0,0,0,0.0,,0.0,True,0.0238802433013916,20,0.996,0,0,0,0.0,,0.0,True,0.19033074378967285,20,0.996,0,0,0,0.0,,0.0,True,0.19281888008117676,20,0.996,0,0,0,0.0,,0.0,True
2450,0.5839087963104248,62,False,0.5985898971557617,62,0.02599620819091797,20,0.996,20,0,42,1.0,0.3225806451612903,0.4878048780487805,False,0.02351212501525879,20,0.996,20,0,42,1.0,0.3225806451612903,0.4878048780487805,False,0.19501113891601562,20,0.996,1,0,61,1.0,0.016129032258064516,0.031746031746031744,False,0.19118142127990723,20,0.996,1,0,61,1.0,0.016129032258064516,0.031746031746031744,False
494,0.5908491611480713,0,True,0.5737898349761963,0,0.02757430076599121,20,0.996,0,0,0,0.0,,0.0,True,0.02510523796081543,20,0.996,0,0,0,0.0,,0.0,True,0.19302010536193848,20,0.996,0,0,0,0.0,,0.0,True,0.2036905288696289,20,0.996,0,0,0,0.0,,0.0,True
2062,0.5997982025146484,0,True,0.5946831703186035,0,0.026919841766357422,20,0.996,0,0,0,0.0,,0.0,True,0.024703264236450195,20,0.996,0,0,0,0.0,,0.0,True,0.18651866912841797,20,0.996,0,0,0,0.0,,0.0,True,0.1929488182067871,20,0.996,0,0,0,0.0,,0.0,True
2650,0.5865721702575684,26,False,0.6034996509552002,26,0.026429176330566406,20,0.996,20,0,6,1.0,0.7692307692307693,0.8695652173913044,False,0.025432825088500977,20,0.996,20,0,6,1.0,0.7692307692307693,0.8695652173913044,False,0.19239163398742676,20,0.996,0,0,26,0.0,0.0,0.0,False,0.1997673511505127,20,0.996,0,0,26,0.0,0.0,0.0,False
2677,0.6034975051879883,0,True,0.5838503837585449,0,0.025999069213867188,20,0.996,0,0,0,0.0,,0.0,True,0.024578571319580078,20,0.996,0,0,0,0.0,,0.0,True,0.19458699226379395,20,0.996,0,0,0,0.0,,0.0,True,0.192230224609375,20,0.996,0,0,0,0.0,,0.0,True
1296,0.5810418128967285,0,True,0.58730149269104,0,0.026971101760864258,20,0.996,0,0,0,0.0,,0.0,True,0.024509906768798828,20,0.996,0,0,0,0.0,,0.0,True,0.1977710723876953,20,0.996,0,0,0,0.0,,0.0,True,0.19634222984313965,20,0.996,0,0,0,0.0,,0.0,True
274,0.6016397476196289,0,True,0.5944793224334717,0,0.025815486907958984,20,0.996,0,0,0,0.0,,0.0,True,0.024735450744628906,20,0.996,0,0,0,0.0,,0.0,True,0.1880645751953125,20,0.996,0,0,0,0.0,,0.0,True,0.27687835693359375,20,0.996,0,0,0,0.0,,0.0,True
2538,0.6851789951324463,0,True,0.5841324329376221,0,0.03257489204406738,20,0.996,0,0,0,0.0,,0.0,True,0.024596214294433594,20,0.996,0,0,0,0.0,,0.0,True,0.19130825996398926,20,0.996,0,0,0,0.0,,0.0,True,0.18969345092773438,20,0.996,0,0,0,0.0,,0.0,True
2756,0.5847504138946533,0,True,0.5975732803344727,0,0.02541518211364746,20,0.996,0,0,0,0.0,,0.0,True,0.02469921112060547,20,0.996,0,0,0,0.0,,0.0,True,0.18349027633666992,20,0.996,0,0,0,0.0,,0.0,True,0.18882036209106445,20,0.996,0,0,0,0.0,,0.0,True
1888,0.5731465816497803,0,True,0.5792033672332764,0,0.02650928497314453,20,0.996,0,0,0,0.0,,0.0,True,0.02477097511291504,20,0.996,0,0,0,0.0,,0.0,True,0.18473100662231445,20,0.996,0,0,0,0.0,,0.0,True,0.19357919692993164,20,0.996,0,0,0,0.0,,0.0,True
1932,0.5861682891845703,0,True,0.5784647464752197,0,0.024342060089111328,20,0.996,0,0,0,0.0,,0.0,True,0.02504706382751465,20,0.996,0,0,0,0.0,,0.0,True,0.1876506805419922,20,0.996,0,0,0,0.0,,0.0,True,0.1957385540008545,20,0.996,0,0,0,0.0,,0.0,True
2180,0.584282398223877,0,True,0.5749735832214355,0,0.02645421028137207,20,0.996,0,0,0,0.0,,0.0,True,0.024600744247436523,20,0.996,0,0,0,0.0,,0.0,True,0.19437527656555176,20,0.996,0,0,0,0.0,,0.0,True,0.19261670112609863,20,0.996,0,0,0,0.0,,0.0,True
1342,0.6004292964935303,0,True,0.5840628147125244,0,0.025255203247070312,20,0.996,0,0,0,0.0,,0.0,True,0.024630069732666016,20,0.996,0,0,0,0.0,,0.0,True,0.19311881065368652,20,0.996,0,0,0,0.0,,0.0,True,0.18843936920166016,20,0.996,0,0,0,0.0,,0.0,True
2889,0.5869300365447998,0,True,0.5771245956420898,0,0.02670741081237793,20,0.996,0,0,0,0.0,,0.0,True,0.02566218376159668,20,0.996,0,0,0,0.0,,0.0,True,0.18619847297668457,20,0.996,0,0,0,0.0,,0.0,True,0.1909925937652588,20,0.996,0,0,0,0.0,,0.0,True
2127,0.5770137310028076,0,True,0.5819761753082275,0,0.02606987953186035,20,0.996,0,0,0,0.0,,0.0,True,0.02466106414794922,20,0.996,0,0,0,0.0,,0.0,True,0.18656206130981445,20,0.996,0,0,0,0.0,,0.0,True,0.19411039352416992,20,0.996,0,0,0,0.0,,0.0,True
190,0.5873105525970459,0,True,0.5853075981140137,0,0.0258486270904541,20,0.996,0,0,0,0.0,,0.0,True,0.024301767349243164,20,0.996,0,0,0,0.0,,0.0,True,0.18508696556091309,20,0.996,0,0,0,0.0,,0.0,True,0.1936168670654297,20,0.996,0,0,0,0.0,,0.0,True
2256,0.578819751739502,0,True,0.5743846893310547,0,0.02472996711730957,20,0.996,0,0,0,0.0,,0.0,True,0.02390313148498535,20,0.996,0,0,0,0.0,,0.0,True,0.18946146965026855,20,0.996,0,0,0,0.0,,0.0,True,0.1961207389831543,20,0.996,0,0,0,0.0,,0.0,True
1321,0.586557149887085,0,True,0.5813450813293457,0,0.031745195388793945,20,0.996,0,0,0,0.0,,0.0,True,0.024483203887939453,20,0.996,0,0,0,0.0,,0.0,True,0.19013452529907227,20,0.996,0,0,0,0.0,,0.0,True,0.18877506256103516,20,0.996,0,0,0,0.0,,0.0,True
2563,0.5834054946899414,0,True,0.576812744140625,0,0.02695298194885254,20,0.996,0,0,0,0.0,,0.0,True,0.02523970603942871,20,0.996,0,0,0,0.0,,0.0,True,0.1857590675354004,20,0.996,0,0,0,0.0,,0.0,True,0.1884632110595703,20,0.996,0,0,0,0.0,,0.0,True
1624,0.5857400894165039,0,True,0.5691463947296143,0,0.026131868362426758,20,0.996,0,0,0,0.0,,0.0,True,0.024089574813842773,20,0.996,0,0,0,0.0,,0.0,True,0.18825626373291016,20,0.996,0,0,0,0.0,,0.0,True,0.18851184844970703,20,0.996,0,0,0,0.0,,0.0,True
677,0.5789318084716797,0,True,0.5756714344024658,0,0.025551319122314453,20,0.996,0,0,0,0.0,,0.0,True,0.023742198944091797,20,0.996,0,0,0,0.0,,0.0,True,0.18895339965820312,20,0.996,0,0,0,0.0,,0.0,True,0.20353245735168457,20,0.996,0,0,0,0.0,,0.0,True
254,0.576765775680542,0,True,0.5819027423858643,0,0.025119304656982422,20,0.996,0,0,0,0.0,,0.0,True,0.02376842498779297,20,0.996,0,0,0,0.0,,0.0,True,0.18587374687194824,20,0.996,0,0,0,0.0,,0.0,True,0.19427752494812012,20,0.996,0,0,0,0.0,,0.0,True
2325,0.5883510112762451,0,True,0.5746951103210449,0,0.025951862335205078,20,0.996,0,0,0,0.0,,0.0,True,0.024498462677001953,20,0.996,0,0,0,0.0,,0.0,True,0.19915151596069336,20,0.996,0,0,0,0.0,,0.0,True,0.19172072410583496,20,0.996,0,0,0,0.0,,0.0,True
2284,0.5917658805847168,0,True,0.5866618156433105,0,0.027955055236816406,20,0.996,0,0,0,0.0,,0.0,True,0.026826858520507812,20,0.996,0,0,0,0.0,,0.0,True,0.19101691246032715,20,0.996,0,0,0,0.0,,0.0,True,0.19294261932373047,20,0.996,0,0,0,0.0,,0.0,True
542,0.5822806358337402,0,True,0.5950508117675781,0,0.027640342712402344,20,0.996,0,0,0,0.0,,0.0,True,0.0256960391998291,20,0.996,0,0,0,0.0,,0.0,True,0.19109439849853516,20,0.996,0,0,0,0.0,,0.0,True,0.19806265830993652,20,0.996,0,0,0,0.0,,0.0,True
1102,0.5818345546722412,0,True,0.5865530967712402,0,0.02604508399963379,20,0.996,0,0,0,0.0,,0.0,True,0.023984909057617188,20,0.996,0,0,0,0.0,,0.0,True,0.19216370582580566,20,0.996,0,0,0,0.0,,0.0,True,0.20460748672485352,20,0.996,0,0,0,0.0,,0.0,True
380,0.5989553928375244,0,True,0.5971119403839111,0,0.03418874740600586,20,0.996,0,0,0,0.0,,0.0,True,0.03356051445007324,20,0.996,0,0,0,0.0,,0.0,True,0.24847793579101562,20,0.996,0,0,0,0.0,,0.0,True,0.2428133487701416,20,0.996,0,0,0,0.0,,0.0,True
278,0.6456389427185059,0,True,0.5928604602813721,0,0.025941133499145508,20,0.996,0,0,0,0.0,,0.0,True,0.025446414947509766,20,0.996,0,0,0,0.0,,0.0,True,0.19005107879638672,20,0.996,0,0,0,0.0,,0.0,True,0.19673728942871094,20,0.996,0,0,0,0.0,,0.0,True
2472,0.6159219741821289,0,True,0.6039538383483887,0,0.029168367385864258,20,0.996,0,0,0,0.0,,0.0,True,0.0251314640045166,20,0.996,0,0,0,0.0,,0.0,True,0.21451282501220703,20,0.996,0,0,0,0.0,,0.0,True,0.20710182189941406,20,0.996,0,0,0,0.0,,0.0,True
