query_item,Full_SSA_time,Full_SSA_count,baseline_empty,Full_PRA_time,Full_PRA_count,Hybrid_SSA_GlobalAvg_time,Hybrid_SSA_GlobalAvg_cands,Hybrid_SSA_GlobalAvg_pruning,Hybrid_SSA_GlobalAvg_tp,Hybrid_SSA_GlobalAvg_fp,Hybrid_SSA_GlobalAvg_fn,Hybrid_SSA_GlobalAvg_prec,Hybrid_SSA_GlobalAvg_recall,Hybrid_SSA_GlobalAvg_f1,Hybrid_SSA_GlobalAvg_exact,Hybrid_PRA_GlobalAvg_time,Hybrid_PRA_GlobalAvg_cands,Hybrid_PRA_GlobalAvg_pruning,Hybrid_PRA_GlobalAvg_tp,Hybrid_PRA_GlobalAvg_fp,Hybrid_PRA_GlobalAvg_fn,Hybrid_PRA_GlobalAvg_prec,Hybrid_PRA_GlobalAvg_recall,Hybrid_PRA_GlobalAvg_f1,Hybrid_PRA_GlobalAvg_exact,Hybrid_SSA_UnionWin_time,Hybrid_SSA_UnionWin_cands,Hybrid_SSA_UnionWin_pruning,Hybrid_SSA_UnionWin_tp,Hybrid_SSA_UnionWin_fp,Hybrid_SSA_UnionWin_fn,Hybrid_SSA_UnionWin_prec,Hybrid_SSA_UnionWin_recall,Hybrid_SSA_UnionWin_f1,Hybrid_SSA_UnionWin_exact,Hybrid_PRA_UnionWin_time,Hybrid_PRA_UnionWin_cands,Hybrid_PRA_UnionWin_pruning,Hybrid_PRA_UnionWin_tp,Hybrid_PRA_UnionWin_fp,Hybrid_PRA_UnionWin_fn,Hybrid_PRA_UnionWin_prec,Hybrid_PRA_UnionWin_recall,Hybrid_PRA_UnionWin_f1,Hybrid_PRA_UnionWin_exact,Hybrid_SSA_DurableRank_time,Hybrid_SSA_DurableRank_cands,Hybrid_SSA_DurableRank_pruning,Hybrid_SSA_DurableRank_tp,Hybrid_SSA_DurableRank_fp,Hybrid_SSA_DurableRank_fn,Hybrid_SSA_DurableRank_prec,Hybrid_SSA_DurableRank_recall,Hybrid_SSA_DurableRank_f1,Hybrid_SSA_DurableRank_exact,Hybrid_PRA_DurableRank_time,Hybrid_PRA_DurableRank_cands,Hybrid_PRA_DurableRank_pruning,Hybrid_PRA_DurableRank_tp,Hybrid_PRA_DurableRank_fp,Hybrid_PRA_DurableRank_fn,Hybrid_PRA_DurableRank_prec,Hybrid_PRA_DurableRank_recall,Hybrid_PRA_DurableRank_f1,Hybrid_PRA_DurableRank_exact,Hybrid_SSA_LegacyMinRank_time,Hybrid_SSA_LegacyMinRank_cands,Hybrid_SSA_LegacyMinRank_pruning,Hybrid_SSA_LegacyMinRank_tp,Hybrid_SSA_LegacyMinRank_fp,Hybrid_SSA_LegacyMinRank_fn,Hybrid_SSA_LegacyMinRank_prec,Hybrid_SSA_LegacyMinRank_recall,Hybrid_SSA_LegacyMinRank_f1,Hybrid_SSA_LegacyMinRank_exact,Hybrid_PRA_LegacyMinRank_time,Hybrid_PRA_LegacyMinRank_cands,Hybrid_PRA_LegacyMinRank_pruning,Hybrid_PRA_LegacyMinRank_tp,Hybrid_PRA_LegacyMinRank_fp,Hybrid_PRA_LegacyMinRank_fn,Hybrid_PRA_LegacyMinRank_prec,Hybrid_PRA_LegacyMinRank_recall,Hybrid_PRA_LegacyMinRank_f1,Hybrid_PRA_LegacyMinRank_exact
532,1.010096549987793,9,False,0.8367547988891602,9,0.011669397354125977,15,0.9968193384223919,8,0,1,1.0,0.8888888888888888,0.9411764705882353,False,0.013488054275512695,15,0.9968193384223919,8,0,1,1.0,0.8888888888888888,0.9411764705882353,False,0.05417299270629883,43,0.9908821034775234,9,0,0,1.0,1.0,1.0,True,0.05456233024597168,43,0.9908821034775234,9,0,0,1.0,1.0,1.0,True,0.049726247787475586,15,0.9968193384223919,9,0,0,1.0,1.0,1.0,True,0.04912161827087402,15,0.9968193384223919,9,0,0,1.0,1.0,1.0,True,0.2634403705596924,15,0.9968193384223919,0,0,9,0.0,0.0,0.0,False,0.330380916595459,15,0.9968193384223919,0,0,9,0.0,0.0,0.0,False
1468,0.9445490837097168,3,False,0.8509120941162109,3,0.012091875076293945,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.015814781188964844,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.05224418640136719,39,0.9917302798982188,3,0,0,1.0,1.0,1.0,True,0.05064678192138672,39,0.9917302798982188,3,0,0,1.0,1.0,1.0,True,0.04914116859436035,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.05177617073059082,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.34262943267822266,15,0.9968193384223919,0,0,3,0.0,0.0,0.0,False,0.29051852226257324,15,0.9968193384223919,0,0,3,0.0,0.0,0.0,False
1256,1.0772411823272705,11,False,1.091712474822998,11,0.01619267463684082,15,0.9968193384223919,6,0,5,1.0,0.5454545454545454,0.7058823529411764,False,0.015793800354003906,15,0.9968193384223919,6,0,5,1.0,0.5454545454545454,0.7058823529411764,False,0.03474569320678711,38,0.9919423240033927,10,0,1,1.0,0.9090909090909091,0.9523809523809523,False,0.03452134132385254,38,0.9919423240033927,10,0,1,1.0,0.9090909090909091,0.9523809523809523,False,0.030293703079223633,15,0.9968193384223919,10,0,1,1.0,0.9090909090909091,0.9523809523809523,False,0.0291593074798584,15,0.9968193384223919,10,0,1,1.0,0.9090909090909091,0.9523809523809523,False,0.30480384826660156,15,0.9968193384223919,0,0,11,0.0,0.0,0.0,False,0.29424095153808594,15,0.9968193384223919,0,0,11,0.0,0.0,0.0,False
2405,0.9770326614379883,10,False,0.8179981708526611,10,0.011490583419799805,15,0.9968193384223919,10,0,0,1.0,1.0,1.0,True,0.012360334396362305,15,0.9968193384223919,10,0,0,1.0,1.0,1.0,True,0.03687691688537598,28,0.9940627650551315,10,0,0,1.0,1.0,1.0,True,0.04791831970214844,28,0.9940627650551315,10,0,0,1.0,1.0,1.0,True,0.049822092056274414,15,0.9968193384223919,10,0,0,1.0,1.0,1.0,True,0.04886603355407715,15,0.9968193384223919,10,0,0,1.0,1.0,1.0,True,0.30474019050598145,15,0.9968193384223919,0,0,10,0.0,0.0,0.0,False,0.37163734436035156,15,0.9968193384223919,0,0,10,0.0,0.0,0.0,False
1098,1.0241689682006836,7,False,1.0468544960021973,7,0.017647266387939453,15,0.9968193384223919,7,0,0,1.0,1.0,1.0,True,0.016169309616088867,15,0.9968193384223919,7,0,0,1.0,1.0,1.0,True,0.049509286880493164,41,0.991306191687871,7,0,0,1.0,1.0,1.0,True,0.055374860763549805,41,0.991306191687871,7,0,0,1.0,1.0,1.0,True,0.048688650131225586,15,0.9968193384223919,7,0,0,1.0,1.0,1.0,True,0.04886674880981445,15,0.9968193384223919,7,0,0,1.0,1.0,1.0,True,0.30372190475463867,15,0.9968193384223919,0,0,7,0.0,0.0,0.0,False,0.30455470085144043,15,0.9968193384223919,0,0,7,0.0,0.0,0.0,False
2025,0.9495236873626709,7,False,0.8839948177337646,7,0.014832496643066406,15,0.9968193384223919,7,1,0,0.875,1.0,0.9333333333333333,False,0.01662158966064453,15,0.9968193384223919,7,1,0,0.875,1.0,0.9333333333333333,False,0.05253744125366211,34,0.9927905004240882,7,1,0,0.875,1.0,0.9333333333333333,False,0.0531153678894043,34,0.9927905004240882,7,1,0,0.875,1.0,0.9333333333333333,False,0.04916691780090332,15,0.9968193384223919,7,1,0,0.875,1.0,0.9333333333333333,False,0.05042266845703125,15,0.9968193384223919,7,1,0,0.875,1.0,0.9333333333333333,False,0.338778018951416,15,0.9968193384223919,0,0,7,0.0,0.0,0.0,False,0.305492639541626,15,0.9968193384223919,0,0,7,0.0,0.0,0.0,False
2485,0.897937536239624,1,False,0.9986321926116943,1,0.014280557632446289,15,0.9968193384223919,1,0,0,1.0,1.0,1.0,True,0.013108491897583008,15,0.9968193384223919,1,0,0,1.0,1.0,1.0,True,0.052847862243652344,39,0.9917302798982188,1,0,0,1.0,1.0,1.0,True,0.05278372764587402,39,0.9917302798982188,1,0,0,1.0,1.0,1.0,True,0.0496363639831543,15,0.9968193384223919,1,0,0,1.0,1.0,1.0,True,0.0491032600402832,15,0.9968193384223919,1,0,0,1.0,1.0,1.0,True,0.3387579917907715,15,0.9968193384223919,0,0,1,0.0,0.0,0.0,False,0.3121519088745117,15,0.9968193384223919,0,0,1,0.0,0.0,0.0,False
585,1.0163195133209229,6,False,1.0290210247039795,6,0.012493371963500977,15,0.9968193384223919,6,0,0,1.0,1.0,1.0,True,0.012443780899047852,15,0.9968193384223919,6,0,0,1.0,1.0,1.0,True,0.04337263107299805,33,0.9930025445292621,6,0,0,1.0,1.0,1.0,True,0.04884839057922363,33,0.9930025445292621,6,0,0,1.0,1.0,1.0,True,0.04874920845031738,15,0.9968193384223919,6,0,0,1.0,1.0,1.0,True,0.037049293518066406,15,0.9968193384223919,6,0,0,1.0,1.0,1.0,True,0.34804725646972656,15,0.9968193384223919,0,0,6,0.0,0.0,0.0,False,0.31796908378601074,15,0.9968193384223919,0,0,6,0.0,0.0,0.0,False
2602,0.9310431480407715,3,False,0.8622443675994873,3,0.010073661804199219,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.01203465461730957,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.053403377532958984,38,0.9919423240033927,3,0,0,1.0,1.0,1.0,True,0.05284571647644043,38,0.9919423240033927,3,0,0,1.0,1.0,1.0,True,0.04981231689453125,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.04969525337219238,15,0.9968193384223919,3,0,0,1.0,1.0,1.0,True,0.3311767578125,15,0.9968193384223919,0,0,3,0.0,0.0,0.0,False,0.32115817070007324,15,0.9968193384223919,0,0,3,0.0,0.0,0.0,False
2863,0.8898615837097168,19,False,0.9715166091918945,19,0.010312080383300781,15,0.9968193384223919,15,0,4,1.0,0.7894736842105263,0.8823529411764706,False,0.012779474258422852,15,0.9968193384223919,15,0,4,1.0,0.7894736842105263,0.8823529411764706,False,0.03690958023071289,29,0.9938507209499576,19,0,0,1.0,1.0,1.0,True,0.032607078552246094,29,0.9938507209499576,19,0,0,1.0,1.0,1.0,True,0.03519129753112793,15,0.9968193384223919,15,0,4,1.0,0.7894736842105263,0.8823529411764706,False,0.03081345558166504,15,0.9968193384223919,15,0,4,1.0,0.7894736842105263,0.8823529411764706,False,0.336270809173584,15,0.9968193384223919,0,0,19,0.0,0.0,0.0,False,0.30884766578674316,15,0.9968193384223919,0,0,19,0.0,0.0,0.0,False
