avg_ssa_time,avg_pra_time,avg_hssa_time,avg_hpra_time,avg_recall_hssa,avg_recall_hpra,avg_candidates,avg_pruning,n_users,sweep,param_value,k,tau,L,d,c
0.44133772850036623,0.4406718730926514,0.14936017990112305,0.14386863708496095,0.8,0.8,7.0,0.9885245901639345,610,k,5.0,5,0.6,5,32,1.5
0.6700635433197022,0.5871385097503662,0.22241430282592772,0.1773496150970459,1.0,1.0,15.0,0.9754098360655737,610,k,10.0,10,0.6,5,32,1.5
0.626095962524414,0.5881515979766846,0.16315217018127443,0.18811683654785155,1.0,1.0,30.0,0.9508196721311475,610,k,20.0,20,0.6,5,32,1.5
0.5053621292114258,0.5157863140106201,0.20345706939697267,0.15714116096496583,1.0,1.0,15.0,0.9754098360655737,610,tau,0.4,10,0.4,5,32,1.5
0.5649214267730713,0.5510925769805908,0.1677244186401367,0.14434285163879396,1.0,1.0,15.0,0.9754098360655737,610,tau,0.6,10,0.6,5,32,1.5
0.5269620895385743,0.5063238620758057,0.14415760040283204,0.1713489055633545,1.0,1.0,15.0,0.9754098360655737,610,tau,0.8,10,0.8,5,32,1.5
0.46792025566101075,0.4557401180267334,0.13684663772583008,0.14068188667297363,1.0,1.0,15.0,0.9754098360655737,610,c,1.5,10,0.6,5,32,1.5
0.4751412868499756,0.4601633071899414,0.12522540092468262,0.14110450744628905,1.0,1.0,20.0,0.9672131147540983,610,c,2.0,10,0.6,5,32,2.0
0.5008093833923339,0.4510044574737549,0.16319141387939454,0.16908788681030273,1.0,1.0,30.0,0.9508196721311475,610,c,3.0,10,0.6,5,32,3.0
0.3729381084442139,0.4157663345336914,0.11601953506469727,0.14564146995544433,1.0,1.0,15.0,0.9754098360655737,610,L,3.0,10,0.6,3,32,1.5
0.48116421699523926,0.47091498374938967,0.15339908599853516,0.17134537696838378,1.0,1.0,15.0,0.9754098360655737,610,L,5.0,10,0.6,5,32,1.5
0.9114718914031983,0.9654038906097412,0.33757762908935546,0.33144192695617675,1.0,1.0,15.0,0.9754098360655737,610,L,10.0,10,0.6,10,32,1.5
0.48139519691467286,0.4696368217468262,0.1256309986114502,0.1247859001159668,0.95,0.95,15.0,0.9754098360655737,610,d,16.0,10,0.6,5,16,1.5
0.46047358512878417,0.48312625885009763,0.15720958709716798,0.18629698753356932,1.0,1.0,15.0,0.9754098360655737,610,d,32.0,10,0.6,5,32,1.5
0.48864068984985354,0.49630985260009763,0.17927889823913573,0.17779297828674318,0.9,0.9,15.0,0.9754098360655737,610,d,64.0,10,0.6,5,64,1.5
