Method,Runtime_sec,Recall_vs_SSA
Full SSA,1.0978070735931396,1.0
Full PRA,1.122794246673584,
Hybrid SSA (MinRank),0.2420356273651123,0.9
Hybrid PRA (MinRank),0.2281928539276123,0.9
