Query_ID,Full_SSA_Time,Full_PRA_Time,Hybrid_SSA_Time,Hybrid_PRA_Time,Full_SSA_Count,Full_PRA_Count,Hybrid_SSA_Count,Hybrid_PRA_Count,Candidates,Pruning_Ratio,Recall_HSSA,Recall_HPRA
2319,1.1665821075439453,1.1593105792999268,0.25464916229248047,0.2315843105316162,0,0,0,0,15,0.997,1.0,1.0
1316,1.0996849536895752,1.1129310131072998,0.2507030963897705,0.2337641716003418,2,2,1,1,15,0.997,0.5,0.5
1962,1.0791301727294922,1.0980567932128906,0.24423813819885254,0.21930885314941406,0,0,0,0,15,0.997,1.0,1.0
267,1.073918342590332,1.0974314212799072,0.22904086112976074,0.23293328285217285,0,0,0,0,15,0.997,1.0,1.0
1299,1.0697197914123535,1.1462414264678955,0.23154687881469727,0.2233736515045166,0,0,0,0,15,0.997,1.0,1.0
